day,home,inpatient_ward,intensive_care_unit,death,recovered
3,942,26,19,0,39
4,943,30,17,0,45
5,931,36,17,1,52
6,905,41,17,0,54
7,848,41,16,1,72
8,776,48,16,3,74
9,725,41,22,1,59
10,661,48,24,0,63
11,599,58,20,1,64
12,559,55,22,1,46
13,516,57,19,1,45
14,456,56,19,0,69
15,416,61,23,0,44
16,374,63,23,0,44
17,352,54,28,1,35
18,325,58,24,0,27
19,294,60,24,1,31
20,263,54,24,1,45
21,245,50,28,1,23
22,223,50,28,0,23
23,206,48,31,0,17
24,196,39,33,1,18
25,179,44,29,1,16
26,169,41,29,1,12
27,156,43,28,1,12
0,928,29,13,0,7
1,952,30,15,0,37
2,925,28,17,0,36
3,907,27,15,0,44
4,892,32,16,1,47
5,841,34,17,0,57
6,808,33,19,0,51
7,752,38,21,0,65
8,708,47,17,0,71
9,640,47,17,0,69
10,602,43,17,0,45
11,550,36,19,2,57
12,515,40,19,1,31
13,467,44,21,0,64
14,420,42,24,1,68
15,373,46,27,0,44
16,330,52,24,1,41
17,310,50,25,1,27
18,282,46,25,2,32
19,256,51,23,1,23
20,235,52,22,0,22
21,232,44,27,0,18
22,212,43,29,0,20
23,193,41,28,2,23
24,180,42,25,1,15
25,168,42,27,1,12
26,161,42,23,0,12
27,151,47,17,2,9
0,959,27,10,0,7
1,990,24,14,0,33
2,1009,24,15,1,37
3,1009,26,15,0,40
4,969,26,16,1,60
5,921,30,11,2,69
6,884,39,11,1,61
7,849,44,11,0,59
8,801,44,12,1,57
9,771,41,13,0,60
10,730,37,22,0,69
11,687,36,23,0,58
12,668,37,22,1,34
13,612,37,23,2,55
14,552,34,23,1,66
15,502,27,25,0,65
16,452,31,27,0,45
17,417,40,27,1,41
18,366,52,20,1,45
19,341,54,19,0,36
20,326,60,16,1,22
21,296,60,17,1,31
22,270,63,16,1,28
23,251,61,13,3,21
24,240,56,16,0,17
25,220,46,24,0,23
26,202,45,20,2,21
27,180,43,21,1,23
